Periode,Total Aset (Jutaan Rp),Kredit yang Diberikan (Jutaan Rp),Laba_Bersih,Dana Pihak Ketiga (Giro+Tab+Dep),Harga_Close
2023-02-01,1.291.725.637,686.778.768,8.114.839,1.023.178.317,7448.54296875
2023-01-01,1.283.325.106,679.137.923,4.704.672,1.022.084.601,7492.3583984375
2022-11-01,1.282.598.920,680.419.908,36.452.968,1.024.104.301,7681.4423828125
2022-10-01,1.281.194.448,681.407.253,31.889.486,1.028.241.034,7463.220703125
2022-08-01,1.254.765.256,662.620.644,24.547.433,1.010.247.886,6546.6845703125
2022-07-01,1.251.244.395,658.634.802,21.284.876,1.007.982.273,6328.46240234375
2022-05-01,1.257.067.226,642.025.895,14.386.174,1.018.377.143,7092.24169921875
2022-04-01,1.261.407.848,640.517.158,11.477.108,1.015.351.345,6917.66357421875
2022-02-01,1.221.534.692,615.472.522,6.288.953,971.292.902,6555.33154296875
2022-01-01,1.214.793.207,611.446.606,3.558.703,968.850.663,6275.92431640625
2021-11-01,1.191.949.259,601.993.049,30.123.241,949.163.587,6340.6181640625
2021-10-01,1.171.663.418,595.712.765,27.087.012,934.655.789,5792.23974609375
2021-08-01,1.133.399.378,587.158.796,20.023.565,904.813.717,5115.3359375
2021-07-01,1.120.424.381,583.055.368,16.898.787,896.633.125,5162.462890625
2021-05-01,1.102.750.104,575.881.723,10.623.454,877.637.639,5488.0625
2021-04-01,1.077.818.479,573.495.870,9.007.752,858.812.269,5260.095703125
2021-02-01,1.064.787.379,563.593.279,5.106.583,838.524.052,5762.8671875
2021-01-01,1.053.811.272,562.076.065,2.917.967,832.997.115,5720.6181640625
2020-12-01,1.056.362.108,575.648.735,26.279.151,834.829.069,5387.42529296875
2020-11-01,1.027.878.671,566.533.037,24.738.503,805.686.964,4877.7470703125
2020-10-01,1.009.351.770,565.245.892,22.827.927,790.444.217,4692.40966796875
2020-08-01,982.435.215,570.353.599,18.523.746,769.346.874,5256.84619140625
2020-07-01,967.841.607,577.375.382,15.214.365,763.138.705,4886.1708984375
2020-06-01,957.694.444,582.184.109,12.061.605,756.917.259,4372.28076171875
2020-05-01,954.071.373,595.028.742,9.574.441,757.157.430,4355.43310546875
2020-04-01,958.426.107,598.686.370,8.373.761,737.800.409,4538.1376953125
